npcname_JP.	『ダンジョンクリーナー』
npcname_EN.	<Dungeon cleaner>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	 *ぶ～ん* 
flavorpassive_JP.1	何かが高速で回転している。
flavorpassive_EN.0	 *bzzzz*whirrrrrrr*click* 
flavorpassive_EN.1	Something is buffing the floor at an inhuman speed
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「Target Acquired.」
flavorangered_JP.1	「Resistance is futile!」
flavorangered_EN.0	"Target Acquired."
flavorangered_EN.1	"Resistance is futile!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「Pwned!」
flavordeath_EN.0	"Pwned!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「wtf」
flavorkill_EN.0	"WTF"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
