npcname_JP.	迷子の子猫
npcname_EN.	stray cat
numflavor_passiveJP.	5
numflavor_passiveEN.	5
flavorpassive_JP.0	「おうちしってう？」
flavorpassive_JP.1	「おうちかえう」
flavorpassive_JP.2	「おうちかえう！」
flavorpassive_JP.3	「ママどっち？おうちどっち？」
flavorpassive_JP.4	「ニャア」
flavorpassive_EN.0	"Do you know where my home is?"
flavorpassive_EN.1	"I'm going home."
flavorpassive_EN.2	"I'm going home!"
flavorpassive_EN.3	"Momma? Where are you?"
flavorpassive_EN.4	"Home! Nyaow!"
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「ころさえう」
flavorangered_JP.1	「しぬぅ！」
flavorangered_EN.0	"I'm gonna be killed."
flavorangered_EN.1	"I'm gonna die!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「おうち…かえ…ぅ…」
flavordeath_EN.0	"I'm... going... hom...e..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「あぁ～ビックリしたぁ」
flavorkill_EN.0	"That scared me!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
