npcname_JP.	聖獣
npcname_EN.	holy beast
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「おめでたや。おめでたや」
flavorpassive_JP.1	祭りは人で溢れかえり、太鼓や笛の音が絶え間なく聞こえる。
flavorpassive_JP.2	祭りの熱気で雪も溶けてしまいそうだ！
flavorpassive_JP.3	「これが噂の聖夜祭か…」
flavorpassive_EN.0	"Happy holy night!"
flavorpassive_EN.1	The town is awash with people arriving at the festival and drums and whistles make a merry rhythm.
flavorpassive_EN.2	Fervor!
flavorpassive_EN.3	"So it's the holy night festival people were talking about..."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
