npcname_JP.	皇女『シルヴィア』
npcname_EN.	<Silvia> The princess
numflavor_passiveJP.	5
numflavor_passiveEN.	5
flavorpassive_JP.0	「何よ、この、ばか豹！いじわるの、ばかの、何もわかってない唐変木のでくのぼう！」
flavorpassive_JP.1	「触らないで！私に触らないでよ、この豹！」
flavorpassive_JP.2	誰かが足で床を踏み鳴らす音が聞こえる。
flavorpassive_JP.3	「どうせ私は姉さんとはメダカとクジラほど違う、ガリガリの痩せっぽっちで貧相なちびの妹よ。私の味方なんて、一人もいやしないんだわ！」
flavorpassive_JP.4	「あんたが＊＊＊してくれないんなら、宮廷中の男をくわえこんで＊＊＊してやる！」
flavorpassive_EN.0	"Come on, you stupid leopard! You ignorant, mean, stupid, uncouth numbnut!"
flavorpassive_EN.1	"Don't touch me! Don't touch me, leopard!"
flavorpassive_EN.2	"You hear someone stomping their feet."
flavorpassive_EN.3	"Maybe I don't have the *boing* that girls like Medaka and Kujira have! Maybe I am just flat! But some people like that!"
flavorpassive_EN.4	"If you won't **** me, then I'll just **** one of the guys from the imperial court!"
numflavor_angeredJP.	5
numflavor_angeredEN.	5
flavorangered_JP.0	「ムチをくれるわよ！」
flavorangered_JP.1	「こ、この、無礼者！お前なんか死刑にするわよ！」
flavorangered_JP.2	「よくも切ったな！よくも私を切ったな！」
flavorangered_JP.3	「アアアアア！ヒィィィィ！人殺し！お父様にいってやる！」
flavorangered_JP.4	「いまやっとわかったわ。あなたは私が死ねばいいと本気で思ってるのね！」
flavorangered_EN.0	"I'll beat you wish a whip!"
flavorangered_EN.1	"Y-you insolent peasant! I'll hang you from the scaffolds!"
flavorangered_EN.2	"How dare you! How DARE you lay a finger on me!"
flavorangered_EN.3	"Ahhh! Eeeeek! A murderer! I'll call my father!"
flavorangered_EN.4	"Now I get it. You really think I should die!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「私なんか、生まれてこなければよかったんだわ！」
flavordeath_JP.1	「非人！悪魔！鬼！人殺し、人殺し、人殺し！」
flavordeath_EN.0	"I should have never been born..."
flavordeath_EN.1	"Villain! Devil! Fiend! Murderer, murderer, murderer!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「私を一人にしないでって約束した、あんなに固く約束したのに」
flavorkill_EN.0	"And you promised you wouldn't leave me alone..."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
