npcname_JP.	白金ガチョウ
npcname_EN.	goose
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	 *ばさばさ* 
flavorpassive_JP.1	「ぐわッ」
flavorpassive_JP.2	「ぐわぐわ」
flavorpassive_EN.0	 *flap-flap* 
flavorpassive_EN.1	*honk*
flavorpassive_EN.2	*honk-honk*
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「ぐぐわッ！」
flavorangered_JP.1	「ぐわ！」
flavorangered_EN.0	*h-honk!*
flavorangered_EN.1	*honk!*
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	地面に白い羽が散らばった。
flavordeath_JP.1	「がちょーん」
flavordeath_EN.0	White feathers were scattered on the ground.
flavordeath_EN.1	*h-honk...*
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ぐわッぐッぐぐ！」
flavorkill_EN.0	*honk-honk!*
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
