npcname_JP.	老人
npcname_EN.	old person
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	7
numflavor_angeredEN.	7
flavorangered_JP.0	「止めてくだされ」
flavorangered_JP.1	「ご無体な」
flavorangered_JP.2	「なんと卑劣な」
flavorangered_JP.3	「たわけ！」
flavorangered_JP.4	「いまどきの若者は…」
flavorangered_JP.5	「老人をいたわれ！」
flavorangered_JP.6	「金などもっていないんじゃ」
flavorangered_EN.0	"Stop it, please."
flavorangered_EN.1	"Unreasonable!"
flavorangered_EN.2	"You foul scum."
flavorangered_EN.3	"Fool!"
flavorangered_EN.4	"Youngsters."
flavorangered_EN.5	"Respect your elders!"
flavorangered_EN.6	"Leave me alone."
numflavor_deathJP.	6
numflavor_deathEN.	6
flavordeath_JP.0	「神様はみておるぞ！」
flavordeath_JP.1	「わしの老後が…」
flavordeath_JP.2	「鬼！」
flavordeath_JP.3	「ぐほぉ」
flavordeath_JP.4	「化けて出ちゃるぞ」
flavordeath_JP.5	「わしゃ死んだのか」
flavordeath_EN.0	"God will punish you."
flavordeath_EN.1	"My remaining years..."
flavordeath_EN.2	"Demon!"
flavordeath_EN.3	"Grrhhh"
flavordeath_EN.4	"I hate this planet."
flavordeath_EN.5	"Am I dead?"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「なんとよわっちぃ奴じゃ」
flavorkill_JP.1	「いまどきの若者はなっとらんのぉ」
flavorkill_EN.0	"Holy... Why are you so weak?"
flavorkill_EN.1	"Muwahahaha!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
