npcname_JP.	姉犬
npcname_EN.	older dog sister
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「この服似合う？似合う？」
flavorpassive_JP.1	「わんわんっ！」
flavorpassive_JP.2	「もっとかまってほしいわん…」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「お姉ちゃんに任せるわん！」
flavorangered_JP.1	「わふっ」
flavorangered_JP.2	「わおーん」
flavorangered_JP.3	「うー！がるるるー！」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「きゅーん…」
flavordeath_JP.1	「お姉ちゃんはもうだめだわん」
flavordeath_JP.2	「きゃうん！」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	姉は興奮してちぎれんばかりに尻尾を振った。
flavorkill_JP.1	「やっつけたよ！褒めて褒めてー♪」
flavorkill_JP.2	「わんわん♪次の相手は誰だー！」
numflavor_welcomeJP.	3
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえりわん」
flavorwelcome_JP.1	「帰ってきたの？帰ってきたの？遊ぼ！」
flavorwelcome_JP.2	「お散歩行こうよ！お散歩！」
