npcname_JP.	『Ｈな妹』
npcname_EN.	<H sister>
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	「えっちないもうとは嫌い…？」
flavorpassive_EN.0	"Do you dislike perverted sisters...?"
numflavor_angeredJP.	5
numflavor_angeredEN.	5
flavorangered_JP.0	「HはHでもHitmanの方だがなぁーっ！」
flavorangered_JP.1	「わたしは妹界最強のヒットマンでーす！死ねぇぇぇぇ！！」
flavorangered_JP.2	「今日も最高の殺人日和だぜぇぇぇぇ！！」
flavorangered_JP.3	「ぶっぽるぎゃるぴるぎゃっぽっぱぁーっ！」
flavorangered_JP.4	「あー%onii%ちゃんを殺してぇよぉぉぉぉぉ！！」
flavorangered_EN.0	"H is for hentai, but I prefer hitman!"
flavorangered_EN.1	"I am the strongest hitman little sister! Die--!"
flavorangered_EN.2	"There no day like today for a murder!"
flavorangered_EN.3	"When you're down here with me, you'll float too!"
flavorangered_EN.4	"Ah, %onii%! Time for you to die!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	妹は死亡…生命活動を停止したのだ。
flavordeath_EN.0	The little sister falls to the floor... and goes still.
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	今日もイルヴァは平和だった。
flavorkill_EN.0	Today, peace comes to Irva.
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
