npcname_JP.	腕利き傭兵『ザナード』
npcname_EN.	<Zernard> the capable mercenary
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「手入れは念入りに、な」
flavorpassive_JP.1	「装備着けたまま泳げっかな」
flavorpassive_JP.2	「強者同士は惹かれあうのさ」
flavorpassive_JP.3	「学習書でも読むか」
flavorpassive_EN.0	"The repairs were meticulous I see."
flavorpassive_EN.1	"I wonder if I can swim while wearing equipment..."
flavorpassive_EN.2	"The strong seem to attract one another."
flavorpassive_EN.3	"Should I read the training document?"
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「手合わせといこうか！」
flavorangered_JP.1	「俺様の戦いぶりに惚れるなよ？」
flavorangered_EN.0	"Let's have a bout then!"
flavorangered_EN.1	"Are you that in love with seeing me fight?"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「俺様もまだまだか」
flavordeath_JP.1	「へぇ、普通につえぇなお前」
flavordeath_JP.2	「すげぇ、俺様の師匠よりずっとつよい！」
flavordeath_EN.0	"Is my time already over?"
flavordeath_EN.1	"Heh, not an ordinary one are you?"
flavordeath_EN.2	"Wow, you're much stronger than my teacher!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「降参すれば命は助けてやｒ…し、死んでる！」
flavorkill_JP.1	「お前もまた、強敵（とも）だった」
flavorkill_EN.0	"Surrender and I'll sp... y-you're already dead!"
flavorkill_EN.1	"(At least) You were a formidable opponent."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
