npcname_JP.	『犬のおまわりさん』
npcname_EN.	<Dog cop>
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「あなたのおうちはどこですかー？」
flavorpassive_JP.1	「わんわんわわーんわんわんわわーん」
flavorpassive_EN.0	"Where is your home, little one?"
flavorpassive_EN.1	"Woof woof! Woof! Woof woof woof!"
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「動くな！動くと撃つワン！」
flavorangered_JP.1	「何をするだァーーッ！！」
flavorangered_JP.2	「わふーっ！」
flavorangered_EN.0	"Don't move or I'll shoot, woof!"
flavorangered_EN.1	"What are you doing woof----!!"
flavorangered_EN.2	"Arf arf!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「ぎゃふん」
flavordeath_JP.1	犬をいじめるなんて…。
flavordeath_EN.0	"Arww..."
flavordeath_EN.1	What kind of person would pick on a dog...?
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「わん！」
flavorkill_JP.1	「くんかくんか…ふげっ！？」
flavorkill_EN.0	"Wan!"
flavorkill_EN.1	"*Sniff sniff*... Geh?!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
