npcname_JP.	特殊部隊長『ミーリス』
npcname_EN.	<Milis> Captain of the Special Forces
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「警備部隊の練度不足は深刻です」
flavorpassive_JP.1	鼻歌が聞こえる…。
flavorpassive_JP.2	「このゆるい雰囲気が苦手です」
flavorpassive_JP.3	「…」
flavorpassive_EN.0	"The Security Force's lack of skill is a major problem."
flavorpassive_EN.1	You can hear someone humming...
flavorpassive_EN.2	"This relaxed atmosphere is not good!"
flavorpassive_EN.3	"..."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「野蛮な…」
flavorangered_JP.1	「仕方がありませんね」
flavorangered_EN.0	"How barbaric..."
flavorangered_EN.1	"You leave me no choice."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「きゃあっ！？」
flavordeath_EN.0	"Kyaa?!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	ミーリスは手慣れた様子で銃をリロードした。
flavorkill_JP.1	「念のためとどめを刺しておきましょう」
flavorkill_EN.0	Milis calmly reloads her gun.
flavorkill_EN.1	"Let's make sure you're dead, just in case."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
