npcname_JP.	世間知らずの『カイル』
npcname_EN.	Naive <Kyle>
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「父さま…」
flavorpassive_JP.1	「だれかたすけて」
flavorpassive_JP.2	「あぅ…」
flavorpassive_EN.0	"Father..."
flavorpassive_EN.1	"Somebody help me..."
flavorpassive_EN.2	"Uuu..."
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「僕ががんばるしかないのに…」
flavordeath_EN.0	"Even though I did my best..."
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
