npcname_JP.	笛吹きの『メファン』
npcname_EN.	<Mefan> the bard
numflavor_passiveJP.	4
numflavor_passiveEN.	4
flavorpassive_JP.0	「タラララララー♪」
flavorpassive_JP.1	「チキチキ♪」
flavorpassive_JP.2	「ドナドナドナ～♪」
flavorpassive_JP.3	「ダバダ～♪」
flavorpassive_EN.0	"Talalalalalaa♪"
flavorpassive_EN.1	"Tchic-Tchic♪"
flavorpassive_EN.2	"Donna-Donnaaa♪"
flavorpassive_EN.3	"Dabadaa♪"
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「嫉妬はやめてくれ」
flavorangered_JP.1	「私の演奏をきけェー！」
flavorangered_EN.0	"No need to be jealous."
flavorangered_EN.1	"Listen to my performance!"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「そんな馬鹿な…」
flavordeath_JP.1	「おまえ、耳がおかしいんじゃないか？」
flavordeath_JP.2	「凡人には理解できないか」
flavordeath_EN.0	"Foolish..."
flavordeath_EN.1	"Is your hearing funny?"
flavordeath_EN.2	"An ordinary person just wouldn't understand."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「ん？あまりの素晴らしさに倒れてしまったのか？」
flavorkill_EN.0	"Hmm? Did my magnificence knock you over?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
