npcname_JP.	ジューア狂戦士
npcname_EN.	juere berserker
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「殺せえええ！皆殺しだあああ！」
flavorangered_JP.1	「ク、クスリを…」
flavorangered_JP.2	「ウヒャヒャ！」
flavorangered_JP.3	「ウォォォ」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「ギャァァァァ」
flavordeath_JP.1	「ヒャハハ…」
flavordeath_JP.2	「だれが死のうと関係ねェ！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ウオオオオオオ！」
flavorkill_JP.1	「まだ殺し足りない！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
