npcname_JP.	超絶決戦兵器『イェルスード』
npcname_EN.	<Yerleswood> the savage machine
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「突撃モード継続」
flavorangered_JP.1	「侵入者ハ排除スル」
flavorangered_JP.2	「対象ノ行動パターン解析中」
flavorangered_EN.0	"CONTINUING IN ASSAULT MODE"
flavorangered_EN.1	"INTRUDER DETECTED. ELIMINATING."
flavorangered_EN.2	"ANALYZING TARGET'S BEHAVIORAL PATTERNS."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「最終コードヲ起動…機密データ、消去…」
flavordeath_EN.0	"TERMINATION SEQUENCE INITIATED. ERASING CONFIDENTIAL DATA..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「戦闘データノ更新ヲ開始スル」
flavorkill_EN.0	"COMBAT DATA UPDATE INITIATED."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
