npcname_JP.	『かたつむり（機乗）』
npcname_EN.	<Snail> the android rider
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	*がしゃーんがしゃーん*
flavorpassive_JP.1	「でーんでんむーしむし」
flavorpassive_EN.0	*gashan gashan*
flavorpassive_EN.1	"Slowly slowly creeps the garden snail..."
numflavor_angeredJP.	5
numflavor_angeredEN.	5
flavorangered_JP.0	「戦いの先に和解があると信じて…今は戦う！」
flavorangered_JP.1	「それが君の選択かい？」
flavorangered_JP.2	「Destroy！Dynamite！」
flavorangered_JP.3	「我々の力を見せてやりましょう！」
flavorangered_JP.4	「パワーブースター、オン！」
flavorangered_EN.0	"If words do not work... Then I will fight!"
flavorangered_EN.1	"So this is what you choose?"
flavorangered_EN.2	"Destroy! Dynamite!"
flavorangered_EN.3	"Let me show you our power!"
flavorangered_EN.4	"Power Booster, on!"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「これはひどい」
flavordeath_JP.1	「Noooooooooo！」
flavordeath_JP.2	「なん…だと…」
flavordeath_EN.0	"This is cruel."
flavordeath_EN.1	"Noooooooooo!"
flavordeath_EN.2	"How... did this happen..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「背負っているものが違うのさ」
flavorkill_JP.1	「やりましたね、かたつむり様」
flavorkill_EN.0	"You've got some interesting stuff here."
flavorkill_EN.1	"It's done, Lord Snail."
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「あ、おかえりー」
flavorwelcome_EN.0	"W-welcome home."
