npcname_JP.	白虎の『サンゲツ』
npcname_EN.	<Lityou>
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	「ガルルル…」
flavorpassive_EN.0	"Grrrr..."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「ガウッ」
flavorangered_JP.1	「ガルル！」
flavorangered_EN.0	"*Growl*"
flavorangered_EN.1	"Grr...!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ふっ…死に際になって人だった頃を思い出すとは、な」
flavordeath_EN.0	"Hmph... So only in death do I recover my humanity..."
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「ガオー」
flavorkill_JP.1	「ハッ！？…まだ人間の心が残っていたか」
flavorkill_JP.2	「グルオオオオオン！」
flavorkill_EN.0	"*Bark*"
flavorkill_EN.1	"Mmmph?!... I guess something still remains of my human mind..."
flavorkill_EN.2	"Awoooooo!"
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「変異には気を付けることだ…」
flavorwelcome_JP.1	「ガルル…」
flavorwelcome_EN.0	"Watch out for mutations..."
flavorwelcome_EN.1	"*Growl*..."
