npcname_JP.	『マーダーナイト』
npcname_EN.	<Murder Knight>
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	「…」
flavorpassive_EN.0	"..."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「滅びゆくものは美しい」
flavorangered_JP.1	「さぁ、楽しませてくれよ…」
flavorangered_EN.0	"Destruction is beautiful..."
flavorangered_EN.1	"Make sure to entertain me..."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「形あるものはいつか必ず壊れるのだ」
flavordeath_EN.0	"Everything must be broken someday..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「まだ足りない…」
flavorkill_JP.1	「誰かもっと楽しませてくれ」
flavorkill_EN.0	"Still not enough..."
flavorkill_EN.1	"Someone entertain me..."
numflavor_welcomeJP.	1
numflavor_welcomeEN.	1
flavorwelcome_JP.0	「やはりお前の体から漂う死臭は格別だ…」
flavorwelcome_EN.0	"The stench of death emanating from you is remarkable..."
