npcname_JP.	『たけのこ』
npcname_EN.	<Bamboo Sprout>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「くそ！たけのこアンチめ！」
flavorangered_JP.1	「たけのこの威光の前にひれ伏せ！」
flavorangered_JP.2	「たけのこの恐ろしさと素晴らしさ…とくと味わえ！」
flavorangered_EN.0	"Shit! The bamboo sprout's weakness!"
flavorangered_EN.1	"Prostrate yourself before the majesty of the bamboo shoot in front of you!"
flavorangered_EN.2	"The horror and splendor of bamboo shoots... I will force you to taste it!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「竹になりたかった…」
flavordeath_EN.0	"I just wanted to grow up into bamboo..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「たけのこ以外に生まれて悲しくないの？」
flavorkill_EN.0	"Isn't it a pity you were born as something other than a bamboo sprout?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
