npcname_JP.	バウンティハンター
npcname_EN.	bounty hunter
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「賞金首か！」
flavorangered_JP.1	「いただきだな」
flavorangered_JP.2	「現れたな！覚悟しろ」
flavorangered_JP.3	「貴様の首をもらおうか」
numflavor_deathJP.	5
numflavor_deathEN.	0
flavordeath_JP.0	「くそったれ」
flavordeath_JP.1	「まいりました」
flavordeath_JP.2	「ぐは」
flavordeath_JP.3	「嘘だッ！」
flavordeath_JP.4	「どうしてこうなった」
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
