npcname_JP.	メイドの『ルーネ』
npcname_EN.	<Lune> the maid chief
numflavor_passiveJP.	1
numflavor_passiveEN.	1
flavorpassive_JP.0	メイドの熱い視線を感じる…
flavorpassive_EN.0	The maid looks good enough to touch...
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「おいたが過ぎますよ！」
flavorangered_JP.1	「お仕置きです！」
flavorangered_EN.0	"That's too far for a prank!"
flavorangered_EN.1	"You need to be punished!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「ダメぇ！」
flavordeath_JP.1	「%syujin%ー！」
flavordeath_EN.0	"Noo!"
flavordeath_EN.1	"%syujin%!"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「わ！おかえりなさいませ、%syujin%！」
flavorwelcome_JP.1	「%syujin%、お仕事お疲れ様です」
flavorwelcome_EN.0	"Uwah! Welcome back, %syujin%!"
flavorwelcome_EN.1	"Good work out there, %syujin%!"
