npcname_JP.	災厄の苗床『メシェーラ・ムド』
npcname_EN.	<Meshera plant>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	あなたは体内のメシェーラが活性化しつつあるのを感じた。
flavorangered_JP.1	取り込んだ生物たちを複製しているようだ。
flavorangered_JP.2	星を食らう巨人があなたへと襲い掛かる。
flavorangered_EN.0	You feel as if the Meshera in your body is becoming active.
flavorangered_EN.1	The Meshera Plant appears to be duplicating enemies it has absorbed.
flavorangered_EN.2	The Star-Devouring Giant attacks.
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	死体は吸収され、苗床の一部となった。
flavorkill_EN.0	The Meshera Plant absorbs the corpse of its kill, making it a part of the seedbed.
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
