npcname_JP.	えっちな妹
npcname_EN.	H sister
numflavor_passiveJP.	4
numflavor_passiveEN.	0
flavorpassive_JP.0	「%onii%様の匂い…素敵です」
flavorpassive_JP.1	「%onii%様…ああ、%onii%様…」
flavorpassive_JP.2	妹はうっとりとした眼差しであなたを見つめている。
flavorpassive_JP.3	あなたは妹に微笑みかけた。妹は幸せそうな顔をしながらビクビクと痙攣した。
numflavor_angeredJP.	5
numflavor_angeredEN.	0
flavorangered_JP.0	「%onii%様のためなら死ねる…」
flavorangered_JP.1	「（わざと怪我をしたら%onii%様に傷口を舐めてもらえるかしら…）」
flavorangered_JP.2	「（戦闘でいい具合に服を破いて%onii%様悩殺作戦、決行！）」
flavorangered_JP.3	「%onii%様にわたくしの無様な戦闘を見られている…！」
flavorangered_JP.4	「体が火照ってきました…%onii%様、後で責任をとってくださいね？」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「%onii%様とあんなことやこんなことをしたかったのに」
flavordeath_JP.1	「%onii%様…この世の誰よりも愛してますわ…」
flavordeath_JP.2	「ひぎィ」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「%onii%様…は、はやくご褒美を…」
flavorkill_JP.1	妹は顔を真っ赤にしながら何かを催促している。
numflavor_welcomeJP.	2
numflavor_welcomeEN.	0
flavorwelcome_JP.0	妹がただいまのキスをせがんできた。
flavorwelcome_JP.1	「%onii%様、ご飯になさいますか？お風呂になさいますか？それとも…」
