npcname_JP.	忘れられた世界の『ミロス』
npcname_EN.	<Milos> Of The Forgotten World
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「この世界と我々の世界の関係とは一体…」
flavorpassive_JP.1	「何とかしてガイアス・ヴィスに戻る方法を考えなくては」
flavorpassive_EN.0	"Just how is this world connected to my own..."
flavorpassive_EN.1	"I can't think of any way to return to Gaius Vis."
numflavor_angeredJP.	2
numflavor_angeredEN.	2
flavorangered_JP.0	「どういうつもりだ」
flavorangered_JP.1	「以前ならば戦うことも迷わなかったのだが」
flavorangered_EN.0	"There's always someone."
flavorangered_EN.1	"If you're the one starting it, don't expect me to hold back."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「おいおい、冗談だろう…」
flavordeath_EN.0	"You've gotta be kidding me..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「こちらの世界はだいぶ殺伐としているようだな」
flavorkill_EN.0	"This world appears to be rather primitive."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
