npcname_JP.	漁師
npcname_EN.	fisherman
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	2
numflavor_angeredEN.	0
flavorangered_JP.0	「てめー　なにになりてぇんだ？」
flavorangered_JP.1	「活きのいい馬鹿だぜ」
numflavor_deathJP.	5
numflavor_deathEN.	5
flavordeath_JP.0	「クソッタレ！」
flavordeath_JP.1	「ひ、ひでぇ！」
flavordeath_JP.2	「ちくしょうめー！」
flavordeath_JP.3	「きっついジョークだ」
flavordeath_JP.4	「なぜ？どうして？」
flavordeath_EN.0	"Go to hell!"
flavordeath_EN.1	"I give up."
flavordeath_EN.2	"Nooooo..."
flavordeath_EN.3	"Is it a joke?"
flavordeath_EN.4	"Why me."
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「へっ、とんだ雑魚だぜ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
