npcname_JP.	老人の『ストック』
npcname_EN.	rich person <Stoke>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「年寄りによってたかって！」
flavorangered_JP.1	「昔取った杵柄を見せてやるわい」
flavorangered_JP.2	「年寄り扱いするな！」
flavorangered_EN.0	"I'll show you what an old man can do!"
flavorangered_EN.1	"Let me show you what I learned when I was a young whippersnapper."
flavorangered_EN.2	"That's no way to treat the elderly!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「長生きしすぎた罰が当たったか」
flavordeath_JP.1	「先に地獄で待ってるぞ」
flavordeath_EN.0	"This is what I get for living past my limit."
flavordeath_EN.1	"I'll see you in hell."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「近頃の若者はやんちゃで困る」
flavorkill_EN.0	"It's troubling how delinquent the youth are these days."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
