npcname_JP.	ガイドの『アルマ』
npcname_EN.	<Arma> the tour guide
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「この街は古くから観光地として有名で───」
flavorpassive_JP.1	「財布を盗られないように注意してくださいね」
flavorpassive_EN.0	"This town has been famous as a tourist destination since ancient times. It..."
flavorpassive_EN.1	"Be careful not to have your wallet stolen!"
numflavor_angeredJP.	6
numflavor_angeredEN.	6
flavorangered_JP.0	「この世界をガイドしつくした私を侮らないほうがいいですよ」
flavorangered_JP.1	「こちらに見えますのがサウスティリスの野蛮人でございます」
flavorangered_JP.2	「仕事の邪魔です！」
flavorangered_JP.3	「あれあれ？怒らせていいんですか？使いますよ。メテオ」
flavorangered_JP.4	「銃を向けられるたびに5gp貰ってたら今頃大金持ちですよ」
flavorangered_JP.5	「間合いは大事ですからね」
flavorangered_EN.0	"You shouldn't despise tour guides just because we can do everything."
flavorangered_EN.1	"If you look over here, you'll see a barbarian from South Tyris."
flavorangered_EN.2	"You're getting in the way of my work!"
flavorangered_EN.3	"Huh? Are you trying to make me angry? I'll use Meteor you know."
flavorangered_EN.4	"If I had 5gp for every time someone tried to take me down, I'd be a millionaire."
flavorangered_EN.5	"Personal space is important you know."
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「命なんて安いものです、特に私のはね」
flavordeath_JP.1	「わたしは許しませんよーっ！」
flavordeath_JP.2	「さようなら…夜道にお気をつけて」
flavordeath_EN.0	"Life is cheap. Especially mine, huh?"
flavordeath_EN.1	"I won't forgive you!"
flavordeath_EN.2	"Farewell... Be careful on the roads at night..."
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「この程度、片づけられなくてはイルヴァで観光案内はできませんから」
flavorkill_JP.1	「おやすみ、ケダモノ」
flavorkill_JP.2	「あの世の観光でもしててくださいね」
flavorkill_EN.0	"Taking care of someone like you is nothing for a tour guide."
flavorkill_EN.1	"Lights out, monster."
flavorkill_EN.2	"Do some sightseeing in the afterlife, alright?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
