npcname_JP.	『異形の天使』
npcname_EN.	<Meshera Alpha> the deformed angel
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	5
numflavor_angeredEN.	5
flavorangered_JP.0	その可憐な微笑みにあなたは神々しささえ感じた。
flavorangered_JP.1	天使が羽ばたく。その翼に災厄と幸福を乗せて。
flavorangered_JP.2	不意に頭の中が掻き回されていくような感覚を覚えた。
flavorangered_JP.3	気が付けばあなたは歓喜の涙を流していた。
flavorangered_JP.4	うつくしい…。
flavorangered_EN.0	The deformed angel's smile makes you feel like you are in the presence of a god.
flavorangered_EN.1	The angel flaps its wings. One brings misfortune while the other brings prosperity.
flavorangered_EN.2	You suddenly feel an itching sensation inside your brain.
flavorangered_EN.3	You begin to shed tears of joy without even realizing it.
flavorangered_EN.4	The angel's beauty takes your breath away...
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「ギシャアアアアア！！」美しくも醜い異形の天使はとどめに放たれたエーテルの奔流に呑まれ、ぐずぐずと崩れ落ち…そして霧散していった。
flavordeath_EN.0	"Gyaaaaaa!!" The deformed angel is engulfed in a torrent of ether and slowly begins to break down... and then dissipates into nothingness.
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「あなたはわたしをうけいれてくれるでしょ？」
flavorkill_EN.0	"You'll accept me, won't you?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
