npcname_JP.	同化兵
npcname_EN.	infected yerles soldier
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	兵士は苦しみながら引き金を引いた。
flavorangered_JP.1	「自分ガ自分デあるウちに…」
flavorangered_JP.2	「あ…ア…痛イ…イタイ…」
flavorangered_EN.0	The infected soldier groans as his finger pulls the trigger of his weapon.
flavorangered_EN.1	"W-while I'm still myself..."
flavorangered_EN.2	"Hurts.. it.. hurts..."
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「あ…ガ……」
flavordeath_JP.1	兵士は安らかな表情で息を引き取った。
flavordeath_JP.2	兵士は最期に大きく痙攣するとそのまま糸が切れたかのように動かなくなった。
flavordeath_EN.0	"Ah... agh..."
flavordeath_EN.1	The infected soldier dies with a peaceful look on his face.
flavordeath_EN.2	The infected soldier convulses for a moment and then goes limp like a puppet whose strings have been cut.
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
