npcname_JP.	カジノスタッフ
npcname_EN.	staff
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「拷問だ！とにかく取り押さえて拷問にかけろ！」
flavorangered_JP.1	「黒服！はやくきてくれー」
flavorangered_JP.2	「ぶちころすぞゴミめら」
flavorangered_EN.0	"P-please, no sir..."
flavorangered_EN.1	"Don't make a fool of me!"
flavorangered_EN.2	"Why are you doing this?"
numflavor_deathJP.	3
numflavor_deathEN.	3
flavordeath_JP.0	「ブラックリストにのせてやる！」
flavordeath_JP.1	「がっ…！？」
flavordeath_JP.2	「なんとぉ！？」
flavordeath_EN.0	"You are cruel."
flavordeath_EN.1	"Ahhhh!"
flavordeath_EN.2	"I don't deserve this..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ゴミめ！」
flavorkill_JP.1	「所詮は負け犬よ」
flavorkill_EN.0	"Weak! Weak!"
flavorkill_EN.1	"Huh?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
