npcname_JP.	旅人
npcname_EN.	traveler
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	6
numflavor_angeredEN.	6
flavorangered_JP.0	「冗談になってませんよ」
flavorangered_JP.1	「な、なんだ！？」
flavorangered_JP.2	「私はたいしたもの持ってないよ」
flavorangered_JP.3	「追剥ぎめ！」
flavorangered_JP.4	「暴力的だな！」
flavorangered_JP.5	「…！」
flavorangered_EN.0	"P-please, no sir..."
flavorangered_EN.1	"Waaaa!"
flavorangered_EN.2	"You get nothing from killing me..."
flavorangered_EN.3	"Don't make a fool of me!"
flavorangered_EN.4	"A violent revolution!"
flavorangered_EN.5	"W-w-what...!"
numflavor_deathJP.	5
numflavor_deathEN.	5
flavordeath_JP.0	「これはひどい」
flavordeath_JP.1	「あぐっ」
flavordeath_JP.2	「解せぬ…」
flavordeath_JP.3	「あーれー」
flavordeath_JP.4	「人生とは儚いものよ…」
flavordeath_EN.0	"You are cruel."
flavordeath_EN.1	"Ahhhh!"
flavordeath_EN.2	"I don't deserve this..."
flavordeath_EN.3	"It's unfair."
flavordeath_EN.4	"My life is pathetic."
numflavor_killJP.	3
numflavor_killEN.	3
flavorkill_JP.0	「いい土産話ができたな」
flavorkill_JP.1	「死出の旅に出るといい」
flavorkill_JP.2	「ちょろいぜ」
flavorkill_EN.0	"Weak! Weak!"
flavorkill_EN.1	"Huh?"
flavorkill_EN.2	"Ha ha ha!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
