npcname_JP.	白皙の『シラハ』
npcname_EN.	<Siraha> the white cloth
numflavor_passiveJP.	2
numflavor_passiveEN.	2
flavorpassive_JP.0	「お返事まだかなー」
flavorpassive_JP.1	「うー…おなかすいたなぁ」
flavorpassive_EN.0	"I wonder if she's replied yet."
flavorpassive_EN.1	"Uuu... I'm so hungry."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「や、やめてください…」
flavorangered_JP.1	「あうう」
flavorangered_JP.2	「何をするんですか…？」
flavorangered_EN.0	"P-please stop..."
flavorangered_EN.1	"Auu"
flavorangered_EN.2	"What are you doing...?"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「痛いよう…」
flavordeath_EN.0	"It hurts..."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「どうしてこんなことしたの？」
flavorkill_EN.0	"Why did you do this?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
