npcname_JP.	錬金術士の『ナプラス』
npcname_EN.	Alchemist <Naplus>
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「手持ちのアイテムで作れるものは、っと…」
flavorpassive_JP.1	「こわい…ふかふかパンこわい…」
flavorpassive_JP.2	「調達依頼めんどうだなー」
flavorpassive_EN.0	"Let's see, what can I make with what I've got..."
flavorpassive_EN.1	"I'm scared... Puff puff bread is scary..."
flavorpassive_EN.2	"This request is a pain in the ass..."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「死体はちゃんと調合に使うから安心してね」
flavorangered_JP.1	「悪いけど、負けないから！」
flavorangered_JP.2	「早く素材になってよ」
flavorangered_EN.0	"Don't worry, I'll put your corpse to good use."
flavorangered_EN.1	"Sorry, but I don't intend to lose!"
flavorangered_EN.2	"Hurry up and turn into a piece of material!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「もうなにがなんだか」
flavordeath_JP.1	「この鬼！悪魔！冒険者ー！」
flavordeath_EN.0	"How did this happen?"
flavordeath_EN.1	"You ogre! You demon! You... adventurer!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「どれどれ…あんまり品質はよくないかなぁ」
flavorkill_JP.1	「錬金術の発展に犠牲はつきものだよ！」
flavorkill_EN.0	"Now then... I wonder what kind of quality I can expect from this?"
flavorkill_EN.1	"Sacrifice is inherent to the advancement of alchemy!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
