npcname_JP.	抜け忍の『影羅』
npcname_EN.	<Eila> the fugitive Kunoichi
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「兄さんの馬鹿…」
flavorpassive_JP.1	「兄さん…なんでわかってくれないの」
flavorpassive_JP.2	「もう僕に干渉しないでほしいのに」
flavorpassive_EN.0	"Brother, you dummy..."
flavorpassive_EN.1	"Brother... Why won't you understand..."
flavorpassive_EN.2	"Please don't get in my way any longer."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「どこの回し者！？」
flavorangered_JP.1	「平穏に暮らしたいのに！」
flavorangered_JP.2	「遅い！」
flavorangered_EN.0	"Who did that?!"
flavorangered_EN.1	"I just want to live in peace!"
flavorangered_EN.2	"You're too slow!"
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「僕はただ…普通の女の子として生きたかっただけなのに」
flavordeath_EN.0	"I just... wanted to live free like a normal girl."
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「僕も一応、戦闘技術は教わったからね」
flavorkill_EN.0	"I did learn combat techniques after all."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
