npcname_JP.	イヌの偉大なる『パスカル』
npcname_EN.	<Pascal>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「おれはなにをしていたんだ…」
flavordeath_EN.0	"What was I doing..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「ワンワン！」
flavorkill_JP.1	「バウ！ワウ！バウ！ワウ！」
flavorkill_EN.0	"Woof!"
flavorkill_EN.1	"Bowow! Bow! Wow! Bowow!"
numflavor_welcomeJP.	2
numflavor_welcomeEN.	2
flavorwelcome_JP.0	「ワウッ」
flavorwelcome_JP.1	「ぶじでなにより」
flavorwelcome_EN.0	"Woof!"
flavorwelcome_EN.1	"Safety first."
