npcname_JP.	駄目姉
npcname_EN.	lazy older sister
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「ふぁあーあ…」
flavorpassive_JP.1	「ねー、あたしの靴下知らない？」
flavorpassive_JP.2	姉の寝癖が風に揺れている。
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「まぁ、なんとかなるでしょ」
flavorangered_JP.1	「そりゃああ！姉パワー全開！」
flavorangered_JP.2	「…はっ！？ね、寝てないよ。意識飛んでただけだよ」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「ぐええ…無理」
flavordeath_JP.1	「この装備が駄目なのよ！あたし悪くないもん！」
flavordeath_JP.2	「ちょっ、やだ。こわい」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「ふふん。どや？」
flavorkill_JP.1	姉はＶサインを決めた。
flavorkill_JP.2	「たまには本気も見せとかないとねっ！」
numflavor_welcomeJP.	2
numflavor_welcomeEN.	0
flavorwelcome_JP.0	姉が嬉しそうに駆け寄ってきた…あ。転んだ。
flavorwelcome_JP.1	「もう！お姉ちゃんを置いてどこ行ってたのよ！」
