npcname_JP.	Ｍ少女
npcname_EN.	M girl
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	少女は恍惚の表情を浮かべながら倒れた。
flavordeath_JP.1	「こういうのも…アリかも」
flavordeath_JP.2	死にゆく瞬間、少女は確かに笑っていた。
numflavor_killJP.	4
numflavor_killEN.	4
flavorkill_JP.0	少女はあなたを見てにっこり笑った。
flavorkill_JP.1	あなたは少女に見とれた。
flavorkill_JP.2	少女は倒した敵のお墓を作り始めた。
flavorkill_JP.3	少女の身体から魔力がたちのぼっている。
flavorkill_EN.0	The little girl smiles at you.
flavorkill_EN.1	You look admiringly at the little girl.
flavorkill_EN.2	The little girl starts digging the enemy's grave.
flavorkill_EN.3	Magical powers emanates from the little girl's body.
numflavor_welcomeJP.	2
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「放置プレイ…ビクンビクン」
flavorwelcome_JP.1	「…おかえりなさい♪」
