npcname_JP.	カラースの番人
npcname_EN.	wrang-wrang
numflavor_passiveJP.	4
numflavor_passiveEN.	0
flavorpassive_JP.0	「こんなに違う人たちが みんなおんなじ仕掛けの中」
flavorpassive_JP.1	「ナイス、ナイス、ヴェリ・ナイス」
flavorpassive_JP.2	「グランファルーンを見たいなら風船の皮をむいてごらん」
flavorpassive_JP.3	「静かな笛よ、その音を聞かせておくれ」
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「目がまわる、目がまわる、目がまわる」
flavordeath_JP.1	「いやな野郎」
flavordeath_JP.2	「よし、世界を滅ぼしてやる」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「誰であれ、神のみわざがどのようなものか知っていると思う人間は、みんな馬鹿なのだ」
flavorkill_JP.1	「幼稚園へ帰れ」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「真理さえあれば人間はそれでいいのか」
