npcname_JP.	『イェルス自律戦闘通信機』
npcname_EN.	<Mobile Communication Equipment>
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「熱源ヲ感知…」
flavorpassive_JP.1	「ターゲットサーチ…」
flavorpassive_JP.2	「電波状況オールグリーン」
flavorpassive_EN.0	"THERMAL DETECTION ENGAGED"
flavorpassive_EN.1	"ACQUIRING TARGET"
flavorpassive_EN.2	"ALL SYSTEMS GREEN..."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「データ取集中…」
flavorangered_JP.1	「出力問題ナシ」
flavorangered_JP.2	「１件ノ通信アリ」
flavorangered_EN.0	"DATA COLLECTION PROCESS INITIATED"
flavorangered_EN.1	"SYSTEM OUTPUT GREEN"
flavorangered_EN.2	"INCOMING COMMUNICATION"
numflavor_deathJP.	0
numflavor_deathEN.	0
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「データヲ編集中…」
flavorkill_JP.1	「次ノ標的ヲ探シテイマス」
flavorkill_EN.0	"COMPILING DATA"
flavorkill_EN.1	"ACQUIRING NEW TARGET..."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
