npcname_JP.	旧人類
npcname_EN.	old humankind
numflavor_passiveJP.	2
numflavor_passiveEN.	0
flavorpassive_JP.0	「ジェネレイター様のおかげでわしらは今生きておれる」
flavorpassive_JP.1	「今日もいい風が吹く…」
numflavor_angeredJP.	2
numflavor_angeredEN.	0
flavorangered_JP.0	「あのエーテルの結界を越えてきたじゃと！？」
flavorangered_JP.1	「早く皆を避難させるんじゃ！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「おいぼれには時間を稼ぐくらいしか…」
flavordeath_JP.1	「もうおしまいじゃ…」
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「他に入り込んだものはいるか？」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
