npcname_JP.	師範の『ナズナ』
npcname_EN.	<Nazuna> the instructor
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「たるんでるぞ！」
flavorpassive_JP.1	「なんだその腑抜けた態度は！」
flavorpassive_JP.2	「動きに無駄が多すぎるぞ！」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「いいだろう、かかってこい」
flavorangered_JP.1	「稽古料は命で支払ってもらうぞ」
flavorangered_JP.2	「踏み込みが足りん！」
flavorangered_JP.3	「お前の本気はその程度か！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「あたしって弱い…」
flavordeath_JP.1	「やっぱり…あたしには無理だったのかな…」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「どうした！さっさと立ち上がらんか！」
flavorkill_JP.1	「だからお前はアホなんだ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
