npcname_JP.	弟狐
npcname_EN.	fox brother
numflavor_passiveJP.	6
numflavor_passiveEN.	0
flavorpassive_JP.0	「%onii%ちゃんっ」
flavorpassive_JP.1	「%onii%ちゃ…なんでもない」
flavorpassive_JP.2	「%onii%ちゃん♪1」
flavorpassive_JP.3	弟は寂しそうな声を出している。
flavorpassive_JP.4	「%onii%ちゃん？」
flavorpassive_JP.5	「こーん」
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「あう…」
flavordeath_JP.1	「%onii%ちゃんどこにいるの…？何も見えないよ…」
flavordeath_JP.2	｢ぼく…しにたくない…よ…｣
numflavor_killJP.	4
numflavor_killEN.	0
flavorkill_JP.0	あなたは弟の姿に感心した。
flavorkill_JP.1	弟はおどおどしながらあなたの顔を覗いた。
flavorkill_JP.2	「こ、ころしたよー…」
flavorkill_JP.3	弟は嬉しそうにしっぽを振っている。
numflavor_welcomeJP.	3
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「おかえり、%onii%ちゃん」
flavorwelcome_JP.1	「寂しかったよ、%onii%ちゃん…」
flavorwelcome_JP.2	｢ぼくいい子にしてたよ！｣
