npcname_JP.	上級魔導士
npcname_EN.	high-magician
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「わが魔力の前にひれ伏すがいい」
flavorangered_JP.1	「愚か者め」
flavorangered_JP.2	「上級たる所以を教えてやろう」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「何かの間違いだ！」
flavordeath_JP.1	「それでも魔法では負けていないっ」
flavordeath_JP.2	「野蛮な…」
numflavor_killJP.	4
numflavor_killEN.	0
flavorkill_JP.0	「エウダーナこそ世界の支配者にふさわしい」
flavorkill_JP.1	「魔法を持たぬ者にはわかるまい…」
flavorkill_JP.2	「フッ」
flavorkill_JP.3	「身の程知らずめ」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
