npcname_JP.	竜の狩人『スピファル』
npcname_EN.	<Spipha> the dragon hunter
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「竜退治はこちらまで！」
flavorpassive_JP.1	「いつかきっと…」
flavorpassive_JP.2	「まったく、難儀な身体ね」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「あまり時間をかけたくないわね」
flavorangered_JP.1	「サクっといこう、サクッと！」
flavorangered_JP.2	「降参したら許してあげるのになー」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「あちゃあー」
flavordeath_JP.1	「チッ、役に立たない鱗ね…！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「またつまらないものを狩ってしまった…ってね」
flavorkill_JP.1	「私の逆鱗に触れたのよ…なんてね」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
