npcname_JP.	ジューア外法強化兵
npcname_EN.	juere demon soldier
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「いい気分だ…とても…」
flavorangered_JP.1	「ククク…」
flavorangered_JP.2	「さぁ、どんな死に方をしたい？」
flavorangered_JP.3	「ひひ、ひひひひひ！」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「馬鹿な！馬鹿なぁぁぁぁっ！！」
flavordeath_JP.1	「ぐぎぎぎぃ！」
flavordeath_JP.2	「もっと…力をっ！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「力だ…！これが力だ！」
flavorkill_JP.1	「はぁーっ、はぁーっ！ふ…ははははは！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
