npcname_JP.	サムライアント
npcname_EN.	samurai-ant
numflavor_passiveJP.	1
numflavor_passiveEN.	0
flavorpassive_JP.0	「ごっつんこ、ごっつんこ」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「この顎の錆にしてくれようぞ」
flavorangered_JP.1	「なかなかに腕が立つとお見受けした」
flavorangered_JP.2	「拙者がお相手いたす」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「これにて御免！」
flavordeath_JP.1	「か、介錯を…」
flavordeath_JP.2	「南無三ッ」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「またつまらぬものを噛んでしまった」
flavorkill_JP.1	「噛み捨て御免」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
