npcname_JP.	先生
npcname_EN.	teacher
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「ここは先生に任せなさい」
flavorangered_JP.1	「お手本を見せてあげましょう」
flavorangered_JP.2	「先生、お願いされました！」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	先生はエビ反りになって倒れた。
flavordeath_JP.1	先生は信じられない勢いで吹き飛んで死んだ。
flavordeath_JP.2	「ぐあああー！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「やる気がないなら帰りなさい！」
flavorkill_JP.1	「そのままそこで反省していなさい」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
