npcname_JP.	老魔導士『ライゼル』
npcname_EN.	<Raizel> the old wizard
numflavor_passiveJP.	3
numflavor_passiveEN.	0
flavorpassive_JP.0	「えーえ、いい天気じゃなぁ」
flavorpassive_JP.1	「んむ…なんじゃったかのう」
flavorpassive_JP.2	「フガフガ」
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「わしの魔法は108まであるぞ」
flavorangered_JP.1	「わしの魔法は…はて、なんじゃったか」
flavorangered_JP.2	「ふぁ、ファイア…ファイアボル…？」
flavorangered_JP.3	「わしに任せてばあさんは下がっとれ」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「回復する魔法はなんじゃったか…」
flavordeath_JP.1	「ばあさん、寝ぼけておるのか」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「…？」
flavorkill_JP.1	「そうかそうか、うーん。よかったのう」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
