npcname_JP.	《永遠のネヘルタード》
npcname_EN.	<Amurdad>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「生命は大事に…ね？」
flavorangered_JP.1	「これも盟約の定め…だから」
flavorangered_JP.2	「星々の声に耳をすませば…」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「ここより永遠に…」
flavordeath_JP.1	「ぼくは消えない」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「その生命が今あるべき場所はここじゃない…」
flavorkill_JP.1	「さぁ、束の間の安らぎを」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「もし君が帰ってこなければ…永遠にこのままだった」
