npcname_JP.	《砂嵐のラシエル》
npcname_EN.	<Arasiel>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「汚らしい…」
flavorangered_JP.1	「いいわよ、遊んであげる」
flavorangered_JP.2	「もっと自分をさらけ出しなさい」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「チッ、屑の分際で」
flavordeath_JP.1	「ルルウィお姉さま…お許しを…」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「砂漠に生き埋めにしようと思ったのにざぁんねん…」
flavorkill_JP.1	「細切れにして砂虫の餌にしてあげるわ」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「退屈なの。とりあえず突然爆発したりしてみせなさいよ」
