npcname_JP.	丘の子
npcname_EN.	hill child
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	4
flavorangered_JP.0	「わっ、わっ！」
flavorangered_JP.1	「うわーん」
flavorangered_JP.2	「ええー」
flavorangered_JP.3	「たたくよ！」
flavorangered_EN.0	"H-help-!"
flavorangered_EN.1	"No no!"
flavorangered_EN.2	"You are evil."
flavorangered_EN.3	"Pervert!"
numflavor_deathJP.	4
numflavor_deathEN.	4
flavordeath_JP.0	「おとーさん…」
flavordeath_JP.1	「ひどいや」
flavordeath_JP.2	「わぁぁん」
flavordeath_JP.3	「もうやだ…」
flavordeath_EN.0	"Mom..."
flavordeath_EN.1	"A---ahh-"
flavordeath_EN.2	"Waaaan!"
flavordeath_EN.3	"Urghhh!"
numflavor_killJP.	1
numflavor_killEN.	1
flavorkill_JP.0	「コレよわーい」
flavorkill_EN.0	"Weak! You are weak!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
