npcname_JP.	店主
npcname_EN.	shopkeeper
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「あっちにいけ！」
flavorangered_JP.1	「やってみろ！」
flavorangered_JP.2	「そちらがその気なら！」
flavorangered_EN.0	"Guard! Guard!"
flavorangered_EN.1	"Ambush!"
flavorangered_EN.2	"You thief!"
numflavor_deathJP.	2
numflavor_deathEN.	2
flavordeath_JP.0	「こ、こんなことって」
flavordeath_JP.1	「おのれ！」
flavordeath_EN.0	"Please spare my life."
flavordeath_EN.1	"Ahhhh..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「これが現実」
flavorkill_JP.1	「見たか！」
flavorkill_EN.0	"Die thief."
flavorkill_EN.1	"You deserve this."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
