npcname_JP.	丘長の『ダイン』
npcname_EN.	<Dain> the elder of hill
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「どいつもこいつも」
flavorpassive_JP.1	「最近の若い衆には根性が足りんな」
flavorpassive_JP.2	「昔はよかったもんだ」
flavorpassive_EN.0	"Worthless, the lot of them."
flavorpassive_EN.1	"Young folks these days just don't have enough gumption."
flavorpassive_EN.2	"I miss the good old days."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「鍛え直してこい」
flavorangered_JP.1	「全然ダメだな、才能がない」
flavorangered_JP.2	「生意気な奴め…」
flavorangered_EN.0	"Train harder."
flavorangered_EN.1	"You ain't got it in you. You're a talentless hack."
flavorangered_EN.2	"What an arrogant bastard..."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「認めん、断じて認めん」
flavordeath_EN.0	"It can't be. I won't accept it!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「お前じゃ話にならん」
flavorkill_JP.1	「それ見たことか」
flavorkill_EN.0	"No more talk."
flavorkill_EN.1	"I told you so."
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
