npcname_JP.	星見の『サリム』
npcname_EN.	<Thalia> the star viewer
numflavor_passiveJP.	3
numflavor_passiveEN.	3
flavorpassive_JP.0	「ジジイめ…」
flavorpassive_JP.1	「丘の民の未来はどっちだ」
flavorpassive_JP.2	「風習ってのは厄介だ」
flavorpassive_EN.0	"That old man..."
flavorpassive_EN.1	"What future remains for the people of the hill?"
flavorpassive_EN.2	"Traditions are so annoying."
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「血の気の多いことで…」
flavorangered_JP.1	「そのエネルギーを別のことに使いな」
flavorangered_JP.2	「うんざりだ」
flavorangered_EN.0	"What a hot-head..."
flavorangered_EN.1	"Use that energy somewhere else."
flavorangered_EN.2	"Despicable."
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「気は済んだ…と思いたいね」
flavordeath_EN.0	"I hope... I'm the last."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「あたしの目利き通りか」
flavorkill_JP.1	「ま、そんな装備じゃな」
flavorkill_EN.0	"As I thought."
flavorkill_EN.1	"Well, what did you expect with that equipment?"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
