npcname_JP.	メイルーンの銀熊『マルカ』
npcname_EN.	<Marka> the silver bear
numflavor_passiveJP.	2
numflavor_passiveEN.	0
flavorpassive_JP.0	「この首周りのモフモフがいいのよ」
flavorpassive_JP.1	「小柄な子はいいなぁ」
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「また喧嘩か…」
flavorangered_JP.1	「ちくしょう、真っ向勝負だ！」
flavorangered_JP.2	「防御をこじ開けてやる！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「うう…ごめん、お母さん」
flavordeath_JP.1	「こんなに強いなんて、私聞いてない！」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「誰が熊だっ！」
flavorkill_JP.1	「馬鹿力で悪かったね…」
flavorkill_JP.2	「私は生きて帰るんだ！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
