npcname_JP.	『ネオ・イェルスード』
npcname_EN.	<Yerleswood Neo>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「突撃モード継続」
flavorangered_JP.1	「戦闘データヲフィードバック」
flavorangered_JP.2	「対象ノ行動パターン解析中」
numflavor_deathJP.	1
numflavor_deathEN.	1
flavordeath_JP.0	「最終コードヲ起動…機密データ、消去…」
flavordeath_EN.0	"TERMINATION SEQUENCE INITIATED. ERASING CONFIDENTIAL DATA..."
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「戦闘データノ更新ヲ開始スル」
flavorkill_JP.1	「一刀…両断！」
flavorkill_EN.0	"COMBAT DATA UPDATE INITIATED"
flavorkill_EN.1	"SINGLE STRIKE... BISECTION!"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
