npcname_JP.	《鉄騎のガルジエム》
npcname_EN.	<Garziem>
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「確実に撃破していきたいところだが」
flavorangered_JP.1	「撃ち漏らす気はないのでな」
flavorangered_JP.2	「あちらさんは随分と気が立っているようだ」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「総員、態勢を立て直せ！」
flavordeath_JP.1	「海底で眠るよりはマシな最期と思いたいものだ」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「どうやら流れに乗れなかったようだな？」
flavorkill_JP.1	「さて。戦況はどう動くか」
numflavor_welcomeJP.	1
numflavor_welcomeEN.	0
flavorwelcome_JP.0	「識別完了。本人と断定」
