npcname_JP.	妖狐
npcname_EN.	fox spirit
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	3
flavorangered_JP.0	「何をするんですか！」
flavorangered_JP.1	「野蛮人！」
flavorangered_JP.2	「私だって」
flavorangered_EN.0	"What are you doing?!"
flavorangered_EN.1	"Barbarian!"
flavorangered_EN.2	"It's me!"
numflavor_deathJP.	4
numflavor_deathEN.	4
flavordeath_JP.0	「私は善良な市民だったのに」
flavordeath_JP.1	「嘘でしょ」
flavordeath_JP.2	「なぜなんだー」
flavordeath_JP.3	「何の冗談ですか」
flavordeath_EN.0	"I was a good citizen."
flavordeath_EN.1	"Is it a joke?"
flavordeath_EN.2	"Why me."
flavordeath_EN.3	"W-What have you done!"
numflavor_killJP.	2
numflavor_killEN.	2
flavorkill_JP.0	「市民パワー」
flavorkill_JP.1	「ぺっ」
flavorkill_EN.0	"Citizen power!"
flavorkill_EN.1	"Tch"
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
