npcname_JP.	プランナーの『フロン』
npcname_EN.	<Fron> the tour planner
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	6
numflavor_angeredEN.	0
flavorangered_JP.0	「貫く！貴方よりも速く！」
flavorangered_JP.1	「マッハでミンチにしてあげますよ」
flavorangered_JP.2	「魂のはいった拳ならどんなもんでも打ちぬくぜーっ！」
flavorangered_JP.3	「ブレイブにもほどがある！」
flavorangered_JP.4	「ここらで引導を渡してくれるわ」
flavorangered_JP.5	「まるでカカシですね」
numflavor_deathJP.	3
numflavor_deathEN.	0
flavordeath_JP.0	「よし、プランＢだ」
flavordeath_JP.1	「こ、今後の予定を修正しないと…」
flavordeath_JP.2	「あーあ、もう計画めちゃくちゃだよ」
numflavor_killJP.	3
numflavor_killEN.	0
flavorkill_JP.0	「計画通り」
flavorkill_JP.1	「交渉決裂！」
flavorkill_JP.2	「ちょろ甘ってやつですね」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
