npcname_JP.	記憶喪失の『ネレス』
npcname_EN.	<Neres> the amnesiac
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「頭吹っ飛ばしてあげましょうね」
flavorangered_JP.1	「なにこいつムカつく」
flavorangered_JP.2	「威勢のいい雑魚ね」
flavorangered_JP.3	「この程度、あいつに比べたら…。うん…？」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「はぁ…これで勝ったつもりなの？」
flavordeath_JP.1	「刺し違えてでも…勝ちたかった…！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「楽に死ねるとでも思ってたの？」
flavorkill_JP.1	「さぁて…どう料理してあげましょうか」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
