npcname_JP.	破壊の悪魔『ラジャシェ』
npcname_EN.	<Lazasye> the destroy
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	4
numflavor_angeredEN.	0
flavorangered_JP.0	「美しく、無惨に弾け飛べ」
flavorangered_JP.1	「壊し甲斐があるというものだ」
flavorangered_JP.2	「足りぬ、壊し足りぬのだ…」
flavorangered_JP.3	「宴だ…破壊の宴だ！」
numflavor_deathJP.	1
numflavor_deathEN.	0
flavordeath_JP.0	「形あるものはいつか壊れる…！？」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「美しい…破壊の美学だ！」
flavorkill_JP.1	「もう壊れてしまった。なんと儚く美しいのか」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
