npcname_JP.	情報魔の『メルゼッタ』
npcname_EN.	<Melget> the informer
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	3
numflavor_angeredEN.	0
flavorangered_JP.0	「さ、戦闘力確認タイムだ！」
flavorangered_JP.1	「フッフッフッ…」
flavorangered_JP.2	「色々と教えてもらうよっ！」
numflavor_deathJP.	2
numflavor_deathEN.	0
flavordeath_JP.0	「わ、私の持ってるデータと違う！」
flavordeath_JP.1	「こんなはずじゃ…！」
numflavor_killJP.	2
numflavor_killEN.	0
flavorkill_JP.0	「ねぇ、知ってる？キミって弱いんだよ」
flavorkill_JP.1	「よーし、前情報通り！」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
