npcname_JP.	船長
npcname_EN.	captain
numflavor_passiveJP.	0
numflavor_passiveEN.	0
numflavor_angeredJP.	0
numflavor_angeredEN.	0
numflavor_deathJP.	7
numflavor_deathEN.	7
flavordeath_JP.0	「私は善良な市民だったのに」
flavordeath_JP.1	「くそめ」
flavordeath_JP.2	「まいった」
flavordeath_JP.3	「ぐえ」
flavordeath_JP.4	「嘘でしょ」
flavordeath_JP.5	「なぜなんだー」
flavordeath_JP.6	「何の冗談ですか」
flavordeath_EN.0	"I was a good citizen."
flavordeath_EN.1	"Go to hell!"
flavordeath_EN.2	"I give up."
flavordeath_EN.3	"Nooooo..."
flavordeath_EN.4	"Is it a joke?"
flavordeath_EN.5	"Why me."
flavordeath_EN.6	"W-What have you done!"
numflavor_killJP.	0
numflavor_killEN.	0
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
