npcname_JP.	仮装子
npcname_EN.	halloween children
numflavor_passiveJP.	2
numflavor_passiveEN.	0
flavorpassive_JP.0	「がおー！」
flavorpassive_JP.1	「こわいんだぞー」
numflavor_angeredJP.	7
numflavor_angeredEN.	7
flavorangered_JP.0	「たすけてー」
flavorangered_JP.1	「や、やめて」
flavorangered_JP.2	「悪の手先だ！」
flavorangered_JP.3	「変質者！」
flavorangered_JP.4	「わ、わわあ」
flavorangered_JP.5	「なんで叩くの？」
flavorangered_JP.6	「大人はこれだから」
flavorangered_EN.0	"H-help-!"
flavorangered_EN.1	"No no!"
flavorangered_EN.2	"You are evil."
flavorangered_EN.3	"Pervert!"
flavorangered_EN.4	"G-g-go away!"
flavorangered_EN.5	"Why are you hitting me?"
flavorangered_EN.6	"Adults."
numflavor_deathJP.	7
numflavor_deathEN.	7
flavordeath_JP.0	「おかーさん…」
flavordeath_JP.1	「えーん」
flavordeath_JP.2	「地獄に落ちろ！」
flavordeath_JP.3	「わぁぁん」
flavordeath_JP.4	「うぐぅ！」
flavordeath_JP.5	「もっと…生きたかった…」
flavordeath_JP.6	「先立つ不幸をお許し下さい…」
flavordeath_EN.0	"Mom..."
flavordeath_EN.1	"A---ahh-"
flavordeath_EN.2	"Go to hell!"
flavordeath_EN.3	"Waaaan!"
flavordeath_EN.4	"Urghhh!"
flavordeath_EN.5	"My life ends here."
flavordeath_EN.6	"Sorry, mom, dad..."
numflavor_killJP.	1
numflavor_killEN.	0
flavorkill_JP.0	「おっかしー」
numflavor_welcomeJP.	0
numflavor_welcomeEN.	0
